n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
0,Iteracao 0,0.010217,0.0096,0.0094
1,Iteracao 1,0.098854,0.09,0.0876
2,Iteracao 2,0.004909,0.0045,0.0044
3,Iteracao 3,0.002772,0.0025,0.0025
4,Iteracao 4,0.013032,0.0121,0.0121
5,Iteracao 5,0.003819,0.0035,0.0034
6,Iteracao 6,0.012439,0.0117,0.0116
7,Iteracao 7,0.002611,0.0024,0.0023
8,Iteracao 8,0.004035,0.0037,0.0036
9,Iteracao 9,0.012018,0.0112,0.0113
10,Iteracao 10,0.00287,0.0027,0.0025
11,Iteracao 11,0.011857,0.0111,0.0111
12,Iteracao 12,0.002729,0.0025,0.0024
13,Iteracao 13,0.011835,0.0111,0.0111
14,Iteracao 14,0.002654,0.0024,0.0024
15,Iteracao 15,0.01176,0.011,0.011
16,Iteracao 16,0.003182,0.0029,0.0028
17,Iteracao 17,0.011738,0.011,0.011
18,Iteracao 18,0.002568,0.0023,0.0023
19,Iteracao 19,0.01191,0.0111,0.0111
20,Iteracao 20,0.002622,0.0024,0.0023
21,Iteracao 21,0.013745,0.0129,0.0128
22,Iteracao 22,0.002578,0.0024,0.0023
23,Iteracao 23,0.011953,0.0111,0.0112
24,Iteracao 24,0.004607,0.0042,0.0042
25,Iteracao 25,0.002525,0.0023,0.0022
26,Iteracao 26,0.011868,0.0111,0.0111
27,Iteracao 27,0.005804,0.0053,0.0053
28,Iteracao 28,0.011576,0.0108,0.0108
29,Iteracao 29,0.002794,0.0026,0.0024
30,Iteracao 30,0.003809,0.0035,0.0034
31,Iteracao 31,0.011684,0.0109,0.0109
32,Iteracao 32,0.002578,0.0023,0.0023
33,Iteracao 33,0.01313,0.0123,0.0122
34,Iteracao 34,0.002482,0.0023,0.0022
35,Iteracao 35,0.011338,0.0106,0.0106
36,Iteracao 36,0.003765,0.0035,0.0034
37,Iteracao 37,0.002751,0.0025,0.0025
38,Iteracao 38,0.011555,0.0108,0.0108
39,Iteracao 39,0.003204,0.0029,0.0029
40,Iteracao 40,0.011468,0.0107,0.0108
41,Iteracao 41,0.002546,0.0023,0.0023
42,Iteracao 42,0.002924,0.0026,0.0026
43,Iteracao 43,0.011511,0.0107,0.0108
44,Iteracao 44,0.011803,0.011,0.0111
45,Iteracao 45,0.003204,0.0029,0.0028
46,Iteracao 46,0.012871,0.012,0.0121
47,Iteracao 47,0.002567,0.0023,0.0023
48,Iteracao 48,0.012353,0.0116,0.0116
49,Iteracao 49,0.003129,0.0029,0.0028
50,Iteracao 50,0.002449,0.0023,0.0022
51,Iteracao 51,0.012212,0.0114,0.0114
52,Iteracao 52,0.002611,0.0023,0.0023
53,Iteracao 53,0.012019,0.0112,0.0112
54,Iteracao 54,0.002492,0.0023,0.0022
55,Iteracao 55,0.012019,0.0113,0.0113
56,Iteracao 56,0.002471,0.0022,0.0022
57,Iteracao 57,0.01204,0.0113,0.0113
58,Iteracao 58,0.00247,0.0023,0.0022
59,Iteracao 59,0.012234,0.0114,0.0115
60,Iteracao 60,0.01204,0.0113,0.0113
61,Iteracao 61,0.002492,0.0022,0.0022
62,Iteracao 62,0.012029,0.0113,0.0113
63,Iteracao 63,0.002481,0.0022,0.0022
64,Iteracao 64,0.012277,0.0115,0.0115
65,Iteracao 65,0.002589,0.0024,0.0023
66,Iteracao 66,0.012557,0.0117,0.0118
67,Iteracao 67,0.0026,0.0024,0.0023
68,Iteracao 68,0.012191,0.0114,0.0114
69,Iteracao 69,0.012503,0.0116,0.0117
70,Iteracao 70,0.002471,0.0022,0.0022
71,Iteracao 71,0.012148,0.0114,0.0114
72,Iteracao 72,0.002589,0.0024,0.0023
73,Iteracao 73,0.002773,0.0026,0.0025
74,Iteracao 74,0.012267,0.0115,0.0115
75,Iteracao 75,0.002525,0.0023,0.0022
76,Iteracao 76,0.012234,0.0114,0.0114
77,Iteracao 77,0.002654,0.0025,0.0024
78,Iteracao 78,0.012255,0.0114,0.0115
79,Iteracao 79,0.012105,0.0113,0.0113
80,Iteracao 80,0.002568,0.0023,0.0023
81,Iteracao 81,0.012105,0.0113,0.0113
82,Iteracao 82,0.002492,0.0023,0.0022
83,Iteracao 83,0.012158,0.0114,0.0114
